,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,credit_qual_a_pct,credit_qual_aa_pct,credit_qual_aaa_pct,credit_qual_b_pct,credit_qual_bb_pct,credit_qual_bbb_pct,credit_qual_below_b_pct,credit_qual_not_rated_pct,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
10,2000-03,B10612,8.93,10.04,4.31,6.93,5.61,30.79,4.41,16.53,0.0,7.05,5.41,0.71,9.49,0.0,30.72,0.0,7.65,43.55,2.05,5.83,0.0,0.0,1.56,98.44,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2000-03,B10749,5.04,12.36,6.96,9.39,12.49,17.21,11.11,11.92,2.2,7.45,3.87,0.0,2.56,0.0,15.88,1.96,6.94,52.93,7.76,11.98,0.0,1.14,2.35,95.7,0.0,0.8,,,,,,,,,0.0,0.0,0.0,0.0,0.0,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.64,0.0
12,2000-03,B13104,1.93,0.0,9.38,14.42,0.0,10.76,19.75,27.13,0.0,16.63,0.0,0.0,1.93,4.85,0.0,19.31,10.96,23.6,14.09,25.27,0.0,0.0,13.99,86.01,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2000-05,B07223,0.56,3.32,10.78,3.53,1.84,1.51,15.3,10.69,0.0,52.47,0.0,6.8,0.62,16.21,3.78,32.84,1.2,3.32,29.38,5.84,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
14,2000-06,B03193,1.48,4.88,17.18,5.09,0.91,12.97,14.22,12.44,0.0,30.83,0.0,3.52,2.99,6.12,0.64,17.84,14.23,12.1,31.86,10.71,0.0,0.0,20.14,79.86,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2000-06,B04687,4.75,6.87,7.4,10.83,8.3,19.61,9.09,16.58,1.06,10.28,5.21,0.61,1.39,0.97,12.7,9.71,11.26,45.67,6.16,11.53,0.0,0.0,4.52,94.94,0.18,0.37,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.48,0.0
16,2000-06,B05011,0.0,9.43,7.19,27.04,1.81,12.85,9.26,0.72,11.82,19.14,0.75,1.42,3.82,1.45,17.83,4.8,12.58,20.32,16.13,21.65,0.0,42.64,3.02,49.27,0.41,4.66,,,,,,,,,0.0,6.24,0.0,0.0,0.31,70.05,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,9.26,0.0
17,2000-06,B10612,9.04,10.56,7.12,5.92,6.16,29.09,3.38,15.64,0.0,7.86,5.24,0.38,8.76,0.0,27.19,0.0,7.72,46.35,3.25,6.36,0.0,0.0,2.15,97.85,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2000-06,B10749,4.69,9.78,5.8,11.56,12.0,16.75,13.76,11.79,2.77,6.83,4.27,0.08,2.82,0.0,14.75,0.61,7.76,50.7,6.68,16.6,0.0,1.08,3.89,94.4,0.0,0.63,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.19,0.0
19,2000-08,B07223,0.0,2.12,9.35,2.97,1.46,1.65,19.84,11.02,0.0,51.59,0.0,4.4,1.07,14.53,5.39,29.84,1.27,2.44,36.54,4.53,0.0,2.23,0.0,97.7,0.07,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2000-08,B08336,1.7,4.75,7.62,7.77,6.3,15.12,11.08,9.26,0.0,34.34,2.06,0.13,0.43,0.01,6.61,2.98,3.6,27.38,35.58,23.28,0.0,0.0,0.23,99.77,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
