,as_of,ask_id,equity_econ_sector_basic_materials_pct_long_rs,equity_econ_sector_communication_services_pct_long_rs,equity_econ_sector_consumer_cyclical_pct_long_rs,equity_econ_sector_consumer_defensive_pct_long_rs,equity_econ_sector_energy_pct_long_rs,equity_econ_sector_financial_services_pct_long_rs,equity_econ_sector_healthcare_pct_long_rs,equity_econ_sector_industrials_pct_long_rs,equity_econ_sector_real_est_pct_long_rs,equity_econ_sector_technology_pct_long_rs,equity_econ_sector_utilities_pct_long_rs,equity_style_small_core_pct_long_rs,equity_style_small_value_pct_long_rs,equity_style_small_growth_pct_long_rs,equity_style_mid_value_pct_long_rs,equity_style_mid_growth_pct_long_rs,equity_style_mid_core_pct_long_rs,equity_style_large_value_pct_long_rs,equity_style_large_growth_pct_long_rs,equity_style_large_core_pct_long_rs,asset_alloc_conv_bond_pct_long_rs,asset_alloc_bond_pct_long_rs,asset_alloc_cash_pct_long_rs,asset_alloc_equity_pct_long_rs,asset_alloc_other_pct_long_rs,asset_alloc_pref_stock_pct_long_rs,fixed_inc_ps_ag_mtge_bck_pct_long_rs,fixed_inc_ps_asset_bck_pct_long_rs,fixed_inc_ps_bank_loan_pct_long_rs,fixed_inc_ps_commercial_mtge_bck_pct_long_rs,fixed_inc_ps_convertible_pct_long_rs,fixed_inc_ps_corporate_bond_pct_long_rs,fixed_inc_ps_covered_bond_pct_long_rs,fixed_inc_ps_forward_future_pct_long_rs,fixed_inc_ps_gov_pct_long_rs,fixed_inc_ps_gov_related_pct_long_rs,fixed_inc_ps_municipal_tax_exempt_pct_long_rs,fixed_inc_ps_municipal_taxable_pct_long_rs,fixed_inc_ps_non_ag_res_mtge_bck_pct_long_rs,fixed_inc_ps_option_warrant_pct_long_rs,fixed_inc_ps_preferred_stock_pct_long_rs,fixed_inc_ps_swap_pct_long_rs
21,2000-05,B14040,0.0,10.0,6.87,4.27,11.49,9.78,16.58,8.45,0.0,30.79,1.78,3.78,0.83,3.47,9.43,46.23,10.75,0.0,25.52,0.0,0.0,0.0,7.29,92.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2000-06,B02396,1.73,0.0,29.48,3.75,0.0,0.0,8.0,29.0,0.0,28.03,0.0,24.83,15.99,2.12,8.77,6.43,33.92,0.0,7.95,0.0,0.0,0.0,4.34,95.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2000-06,B04841,1.17,28.4,16.7,2.3,2.64,22.47,5.63,15.45,0.0,5.24,0.0,1.85,7.26,1.93,23.03,41.25,15.95,3.09,4.52,1.13,0.0,0.44,0.0,97.77,0.0,1.79,0.0,0.0,0.0,0.0,0.0,74.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.06,0.0
24,2000-06,B07347,0.2,8.2,14.22,0.77,3.36,3.28,18.81,9.89,0.29,40.9,0.07,11.29,1.86,16.66,5.34,29.94,5.06,0.39,27.5,1.96,1.09,0.0,14.59,81.9,0.45,1.96,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,0.0
25,2000-06,B11222,6.97,0.0,23.34,6.67,0.6,8.33,2.75,6.76,2.61,41.98,0.0,11.63,13.78,11.17,1.3,13.2,4.49,1.08,39.58,3.78,0.0,0.0,0.77,98.83,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2000-06,B13086,0.0,25.3,14.43,2.88,0.0,0.12,15.51,8.56,0.0,33.2,0.0,0.0,0.0,3.1,1.56,52.31,1.54,0.0,40.56,0.94,0.0,0.0,3.25,96.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2000-06,B13177,12.37,0.84,14.17,9.22,6.15,16.33,8.3,14.4,0.0,11.89,6.32,5.05,5.96,0.0,33.73,11.75,40.47,1.06,1.98,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,
28,2000-06,B14040,0.0,11.12,6.84,4.66,9.86,8.51,16.41,8.0,0.0,33.07,1.53,5.16,0.72,1.38,8.06,40.94,16.26,0.0,27.5,0.0,0.0,0.0,3.03,96.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2000-07,B02396,1.54,0.0,28.42,3.95,0.0,0.0,6.39,32.02,0.0,27.68,0.0,17.1,19.57,4.51,13.9,10.03,29.79,0.0,5.1,0.0,0.0,0.0,0.0,97.17,2.83,0.0,,,,,,,,,,,,,,,,
30,2000-07,B04312,0.0,2.89,14.32,4.21,12.35,5.39,18.97,7.71,0.0,34.17,0.0,2.71,0.0,3.68,0.0,66.09,8.45,1.02,18.05,0.0,0.0,0.0,12.89,87.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
